,_id,movie_directors,movie_genres,movie_rating,movie_stars,movie_writers,name,plot,poster,release_year,reviews_num,titleId,tsne_glyph_x,tsne_glyph_y,signature_zscore_percent_anger,signature_zscore_percent_anticipation,signature_zscore_percent_disgust,signature_zscore_percent_fear,signature_zscore_percent_joy,signature_zscore_percent_sadness,signature_zscore_percent_surprise,signature_zscore_percent_trust,cluster_1,emotion_color,cluster_level2,tsne_glyph_x_level2,tsne_glyph_y_level2,emotion_color_lvl2
0,617411f42788418ec824bdcd,Fritz Lang,Drama & Fantasy & Thriller,4.0,Bernhard Goetzke & Lil Dagover & Walter Janssen & Hans Sternberg & Karl Rückert,Fritz Lang & Thea von Harbou,Destiny,nn,nn,1921,34,tt0012494,2.68867,52.497,0.627811,0.889464,0.722216,0.601109,0.780355,0.761085,0.998906,0.255892,2,6,7,-34.3141,20.424,5
1,617411fb2788418ec824bdcf,D.W. Griffith,Drama & History & Romance,4.0,Lillian Gish & Dorothy Gish & Joseph Schildkraut & Frank Losee & Katherine Emmet,Adolphe d'Ennery & Eugène Cormon & D.W. Griffith,Orphans of the Storm,nn,nn,1921,40,tt0012532,-31.6464,43.461,0.901852,0.676606,0.44828,0.759678,0.46159,0.928845,0.649157,0.411811,2,6,5,-6.19082,-4.36014,1
2,617412882788418ec824be05,Rupert Julian & Lon Chaney & Ernst Laemmle & Edward Sedgwick,Horror,4.0,Lon Chaney & Mary Philbin & Norman Kerry & Arthur Edmund Carewe & Gibson Gowland,Gaston Leroux & Walter Anthony & Elliott J. Clawson,The Phantom of the Opera,nn,nn,1925,152,tt0016220,-35.4282,47.4149,0.819712,0.671209,0.442875,0.981311,0.693785,0.901655,0.976777,0.447032,2,6,7,-38.2916,-3.04342,5
3,617414e42788418ec824bee9,George Cukor,Drama,4.0,John Barrymore & Billie Burke & David Manners & Katharine Hepburn & Paul Cavanagh,Howard Estabrook & Harry Wagstaff Gribble & Clemence Dane,A Bill of Divorcement,nn,nn,1932,38,tt0022685,-52.0743,32.7179,0.766782,0.339552,0.75288,0.851692,0.479185,0.875501,0.568852,0.446075,2,6,1,-8.83281,-16.431,4
4,617415df2788418ec824bf4f,Victor Halperin,Horror,4.0,Bela Lugosi & Madge Bellamy & Joseph Cawthorn & Robert Frazer & John Harron,Garnett Weston & Garnett Weston & William B. Seabrook,White Zombie,nn,nn,1932,178,tt0023694,-26.1866,45.4514,0.643775,0.619003,0.812391,0.687997,0.693942,0.775579,0.889048,0.563846,2,6,7,-35.5898,4.60515,5
5,6174160b2788418ec824bf61,Edwin L. Marin,Comedy & Crime & Drama & Mystery & Romance,4.0,David Manners & Adrienne Ames & Bela Lugosi & John Wray & Vince Barnett,Madelon St. Dennis & Barry Barringer & Gordon Kahn,The Death Kiss,nn,nn,1932,51,tt0023935,-72.9255,47.973,0.964445,0.847315,0.842513,0.864657,0.125168,0.896087,0.999996,0.225463,2,6,3,4.40157,37.0063,3
6,617416d12788418ec824bfb3,Edgar G. Ulmer,Adventure & Crime & Horror & Romance & Thriller,4.0,Boris Karloff & Bela Lugosi & David Manners & Julie Bishop & Egon Brecher,Edgar Allan Poe & Peter Ruric & Edgar G. Ulmer,The Black Cat,nn,nn,1934,152,tt0024894,-96.6521,21.6719,0.836494,0.238088,0.805584,0.846859,0.240614,0.983818,0.93842,0.155407,2,6,2,37.4771,-6.31293,7
7,617416ed2788418ec824bfbf,Mitchell Leisen,Drama & Fantasy & Romance,4.0,Fredric March & Evelyn Venable & Guy Standing & Katharine Alexander & Gail Patrick,Maxwell Anderson & Gladys Lehman & Alberto Casella,Death Takes a Holiday,nn,nn,1934,39,tt0025037,-43.5233,50.0633,0.780331,0.927641,0.826319,0.78122,0.569284,0.940612,0.991007,0.0795924,2,6,7,-20.1423,39.2463,5
8,6174177e2788418ec824bffb,Roy William Neill,Crime & Horror,4.0,Boris Karloff & Marian Marsh & Robert Allen & Thurston Hall & Katherine DeMille,Arthur Strawn & Henry Myers & Arthur Strawn,The Black Room,nn,nn,1935,51,tt0026123,-44.3083,42.061,0.864951,0.433619,0.893354,0.803089,0.371831,0.996659,0.880811,0.652106,2,6,1,-6.24556,-34.8907,4
9,617418012788418ec824c031,Lew Landers,Crime & Horror,4.0,Boris Karloff & Bela Lugosi & Lester Matthews & Irene Ware & Samuel S. Hinds,Edgar Allan Poe & David Boehm & Guy Endore,The Raven,nn,nn,1935,86,tt0026912,-72.7693,38.9508,0.938298,0.432287,0.978712,0.969143,0.442914,0.993911,0.756643,0.43135,2,6,1,-2.499,-27.5632,4
